Annual Income,Years in current job,Tax Liens,Number of Open Accounts,Years of Credit History,Maximum Open Credit,Number of Credit Problems,Months since last delinquent,Bankruptcies,Term,Current Loan Amount,Current Credit Balance,Monthly Debt,Credit Score,Credit Default,Home Mortgage,Purpose_business loan,Purpose_debt/purchase/other,Purpose_house/wedding/education
482087,0.0,0,11,26.3,685960,1,32,1,0,265826,47386,7914,749,0,0,0,1,0
1025487,10.0,0,15,15.3,1181730,0,255,0,1,264968,394972,18373,737,1,0,0,1,0
751412,8.0,0,11,35.0,1182434,0,255,0,0,265826,308389,13651,742,0,1,0,1,0
805068,6.0,0,8,22.5,147400,1,32,1,0,121396,95855,11338,694,0,0,0,1,0
776264,8.0,0,13,13.6,385836,1,32,0,0,125840,93309,7180,719,0,0,0,1,0
1165811,7.0,0,12,14.6,366784,0,255,0,1,337304,165680,18692,731,1,0,0,1,0
1511108,10.0,0,9,20.3,388124,0,73,0,0,265826,51623,2317,745,0,1,0,0,1
1040060,10.0,0,13,12.0,330374,0,18,0,0,250888,89015,19761,705,1,0,0,1,0
1165811,5.0,0,17,15.7,476476,1,32,1,0,129734,19,17,731,0,1,0,0,1
1165811,1.0,0,10,24.6,511302,0,6,0,1,572880,205333,17613,731,1,1,0,1,0
1165811,0.5,0,7,11.5,256322,0,255,0,0,220858,187492,14592,731,0,1,0,1,0
1828560,4.0,0,12,17.6,839080,0,255,0,0,441100,402914,15528,737,0,1,0,1,0
933432,10.0,0,8,14.0,443608,0,255,0,0,337766,315305,19446,706,0,1,0,1,0
2066364,10.0,0,11,17.7,1654026,0,255,0,1,549780,1037077,21869,728,1,0,0,1,0
2258796,7.0,0,11,17.7,1602546,0,255,0,0,185262,206188,58352,748,0,0,0,1,0
848464,10.0,0,9,18.4,296186,0,255,0,0,145134,41439,12939,727,0,0,0,1,0
1165811,7.0,0,6,17.8,899492,0,255,0,1,313038,538346,18844,731,1,0,0,1,0
3361898,3.0,0,14,28.5,1042096,0,255,0,1,498872,689396,52249,644,1,1,0,1,0
1401744,2.0,0,9,29.0,387222,0,40,0,1,553586,201989,13434,695,1,1,0,1,0
1020072,2.0,0,6,12.5,199078,0,255,0,0,309672,120517,14451,712,1,0,0,1,0
1651993,10.0,0,11,26.5,663894,0,44,0,1,585090,252852,8742,697,0,1,0,1,0
1047394,6.0,0,7,34.4,401104,0,45,0,0,324852,183597,7786,719,1,1,0,1,0
463790,0.0,0,6,28.3,288442,0,255,0,0,265826,157700,5063,738,0,0,0,1,0
1165811,10.0,0,17,14.8,700040,0,17,0,0,174878,168074,17132,731,1,0,0,1,0
1165811,0.0,0,12,25.0,1216336,0,61,0,0,467676,818311,37530,731,0,0,0,1,0
1353142,10.0,0,3,29.8,1231912,0,255,0,0,108042,1036279,22225,720,0,0,0,1,0
951425,2.0,0,20,15.8,748880,0,255,0,0,66110,285874,17046,742,0,1,0,1,0
1004055,8.0,0,7,14.5,328394,0,255,0,0,265826,195966,6041,734,0,0,0,1,0
711094,10.0,0,12,19.5,533808,0,255,0,0,155782,262314,13807,740,0,1,0,1,0
1165811,10.0,0,9,18.6,186494,0,6,0,0,357918,72808,22352,731,1,0,0,1,0
612750,7.0,0,8,14.0,225016,1,32,1,0,265826,147687,6128,719,0,0,0,1,0
1289796,10.0,0,11,20.5,845548,0,255,0,1,265826,640433,26549,708,0,0,0,1,0
1526840,10.0,0,19,25.0,1303082,0,14,0,0,265188,495178,28247,726,1,1,0,1,0
1165811,0.5,0,13,21.0,101464,0,11,0,0,79464,60287,14003,731,1,1,0,1,0
1899050,3.0,0,6,10.2,802692,0,255,0,0,43978,550430,21839,722,0,0,0,1,0
1165811,0.5,0,9,31.4,1457104,0,32,0,0,155474,254201,7020,731,0,0,0,1,0
1165811,6.0,0,8,14.5,409222,0,14,0,1,667458,206758,18846,731,1,1,0,1,0
1165811,5.0,0,13,18.0,608652,0,255,0,0,122936,221825,10806,731,1,0,0,1,0
1395645,6.0,0,15,17.6,1480182,0,75,0,0,120670,58805,10200,750,0,0,0,1,0
852017,7.0,3,12,7.6,337722,3,32,0,0,175384,160417,21868,727,1,1,0,1,0
709821,10.0,0,13,23.7,339724,0,65,0,1,246004,198341,14670,670,1,0,0,1,0
1350349,10.0,0,20,15.0,763422,0,10,0,0,241230,306584,9014,721,0,0,0,1,0
1165811,4.0,0,22,10.9,625042,0,28,0,1,326810,300675,13844,731,1,0,0,1,0
1165811,10.0,0,10,9.4,348678,0,255,0,0,191136,165927,12031,731,1,1,0,1,0
1334256,10.0,0,17,15.4,476476,1,35,0,0,33110,656450,34357,729,0,1,0,1,0
1165811,10.0,0,10,21.4,1104554,1,32,1,1,774092,595251,28897,731,0,1,0,1,0
1721457,10.0,0,6,27.3,263604,0,6,0,0,265826,121353,23527,723,0,1,0,1,0
1165811,5.0,0,18,18.0,1447468,0,255,0,0,215490,612541,24039,731,0,0,0,1,0
1165811,8.0,0,14,18.7,252670,0,29,0,1,323796,94696,25005,731,1,1,0,0,1
1165811,5.0,0,8,17.0,181742,0,13,0,0,355344,108300,19012,731,1,0,0,1,0
665931,3.0,0,6,22.2,279642,0,255,0,1,220308,181127,9379,716,0,0,0,1,0
1521672,3.0,0,12,10.4,900878,0,255,0,0,132154,242744,20416,742,1,1,0,1,0
916560,3.0,0,8,9.5,564168,0,255,0,0,265320,183198,13137,744,0,0,0,1,0
2276808,10.0,0,19,34.4,1685794,0,8,0,1,768922,267881,13889,707,0,1,0,1,0
1165811,10.0,0,7,17.6,293766,1,71,1,0,175516,149948,3767,731,1,1,0,1,0
1165811,6.0,0,7,18.0,89100,0,13,0,1,130328,39235,18351,731,0,0,1,0,0
1520969,10.0,0,7,19.2,458590,0,255,0,0,468138,2774,12865,748,0,0,0,0,1
719549,2.0,0,7,16.3,37290,1,32,0,1,71258,27569,12592,722,1,0,0,1,0
992845,0.0,0,17,21.2,1132054,0,255,0,0,207812,294291,25483,739,0,1,0,1,0
1165811,0.5,0,9,10.7,642092,0,255,0,0,312026,296685,13006,731,1,0,0,1,0
1630029,0.0,0,10,17.3,697114,0,255,0,1,230362,260680,6181,714,0,1,0,1,0
866476,1.0,0,15,12.9,239800,0,255,0,1,265826,130891,11770,701,0,1,0,1,0
1670860,6.0,0,8,16.0,233420,0,61,0,1,333564,122569,23949,705,0,1,0,1,0
573762,1.0,0,7,16.6,197120,0,54,0,0,177166,114741,12671,735,1,0,0,1,0
1165811,0.5,0,10,15.6,697642,0,255,0,0,156508,398259,28077,731,0,0,0,1,0
1280125,10.0,0,8,13.3,362934,0,255,0,0,318582,204991,16428,741,1,0,0,1,0
1165811,10.0,0,11,11.3,693418,1,32,1,0,266398,147915,21461,731,0,1,0,1,0
1269333,0.5,0,7,15.8,235510,0,255,0,0,265826,171874,5183,747,0,0,0,1,0
2157773,4.0,0,10,22.2,660374,0,13,0,0,482152,494475,39559,743,0,0,0,1,0
1408527,2.0,0,12,17.5,700062,0,21,0,1,525998,174135,9320,647,1,1,0,1,0
613966,6.0,0,5,16.3,96998,0,255,0,0,148632,29982,6498,744,0,1,0,1,0
1165811,10.0,0,8,13.1,797874,0,255,0,0,308616,360392,35030,731,0,0,0,1,0
